[2026-07-29 14:40:29] INFO | Loaded 2,687 hospitals from Excel.
[2026-07-29 14:40:30] INFO | Loaded 4,024 existing review keys for dedup.
[2026-07-29 14:40:31] INFO | Phase 1 [122/2103]: Epilepsy Clinic
[2026-07-29 14:40:31] INFO | Processing: Epilepsy Clinic
[2026-07-29 14:40:31] INFO | Trying hexahealth.com for: Epilepsy Clinic
[2026-07-29 14:40:31] INFO |   DDG: https://duckduckgo.com/?q=Epilepsy+Clinic+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:40:34] INFO |   DDG result: https://www.hexahealth.com/delhi/doctors/epilepsy-doctors
[2026-07-29 14:40:34] INFO |   Candidate URL: https://www.hexahealth.com/delhi/doctors/epilepsy-doctors/reviews
[2026-07-29 14:40:37] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:40:37] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:40:39] INFO | Summary row: Epilepsy Clinic → No Reviews (0 reviews)
[2026-07-29 14:40:40] ERROR |   Unhandled error for 'Epilepsy Clinic': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:40:40] INFO | Checkpoint saved -> Epilepsy Clinic
[2026-07-29 14:40:40] INFO | Phase 1 [123/2103]: Mharaja Agarsen Sec 7dwarka
[2026-07-29 14:40:40] INFO | Processing: Mharaja Agarsen Sec 7dwarka
[2026-07-29 14:40:40] INFO | Trying hexahealth.com for: Mharaja Agarsen Sec 7dwarka
[2026-07-29 14:40:40] INFO |   DDG: https://duckduckgo.com/?q=Mharaja+Agarsen+Sec+7dwarka+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:40:43] INFO |   DDG result: https://www.hexahealth.com/delhi/hospital/maharaja-agrasen-hospital-dwarka
[2026-07-29 14:40:43] INFO |   Candidate URL: https://www.hexahealth.com/delhi/hospital/maharaja-agrasen-hospital-dwarka/reviews
[2026-07-29 14:40:45] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:40:45] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:40:47] INFO | Summary row: Mharaja Agarsen Sec 7dwarka → No Reviews (0 reviews)
[2026-07-29 14:40:48] ERROR |   Unhandled error for 'Mharaja Agarsen Sec 7dwarka': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:40:48] INFO | Checkpoint saved -> Mharaja Agarsen Sec 7dwarka
[2026-07-29 14:40:48] INFO | Phase 1 [124/2103]: Wellness India
[2026-07-29 14:40:48] INFO | Processing: Wellness India
[2026-07-29 14:40:48] INFO | Trying hexahealth.com for: Wellness India
[2026-07-29 14:40:48] INFO |   DDG: https://duckduckgo.com/?q=Wellness+India+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:40:51] INFO |   DDG result: https://www.hexahealth.com/hyderabad/hospital/wellness-hospital-ameerpet
[2026-07-29 14:40:51] INFO |   Candidate URL: https://www.hexahealth.com/hyderabad/hospital/wellness-hospital-ameerpet/reviews
[2026-07-29 14:40:53] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:40:53] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:40:55] INFO | Summary row: Wellness India → No Reviews (0 reviews)
[2026-07-29 14:40:56] ERROR |   Unhandled error for 'Wellness India': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:40:56] INFO | Checkpoint saved -> Wellness India
[2026-07-29 14:40:56] INFO | Phase 1 [125/2103]: Kalpavriksh Super Speciality Center
[2026-07-29 14:40:56] INFO | Processing: Kalpavriksh Super Speciality Center
[2026-07-29 14:40:56] INFO | Trying hexahealth.com for: Kalpavriksh Super Speciality Center
[2026-07-29 14:40:56] INFO |   DDG: https://duckduckgo.com/?q=Kalpavriksh+Super+Speciality+Center+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:40:59] INFO |   DDG result: https://www.hexahealth.com/delhi/hospital/kalpavriksh-super-speciality-center
[2026-07-29 14:40:59] INFO |   Candidate URL: https://www.hexahealth.com/delhi/hospital/kalpavriksh-super-speciality-center/reviews
[2026-07-29 14:41:02] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:41:02] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:41:04] INFO | Summary row: Kalpavriksh Super Speciality Center → No Reviews (0 reviews)
[2026-07-29 14:41:04] ERROR |   Unhandled error for 'Kalpavriksh Super Speciality Center': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:41:04] INFO | Checkpoint saved -> Kalpavriksh Super Speciality Center
[2026-07-29 14:41:04] INFO | Phase 1 [126/2103]: Aastha Medicare
[2026-07-29 14:41:04] INFO | Processing: Aastha Medicare
[2026-07-29 14:41:04] INFO | Trying hexahealth.com for: Aastha Medicare
[2026-07-29 14:41:04] INFO |   DDG: https://duckduckgo.com/?q=Aastha+Medicare+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:41:07] INFO |   DDG result: https://www.hexahealth.com/gurgaon/hospital/dr-anu-sidanas-aastha-medicare-clinic-sector-5
[2026-07-29 14:41:07] INFO |   Candidate URL: https://www.hexahealth.com/gurgaon/hospital/dr-anu-sidanas-aastha-medicare-clinic-sector-5/reviews
[2026-07-29 14:41:11] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:41:11] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:41:14] INFO | Summary row: Aastha Medicare → No Reviews (0 reviews)
[2026-07-29 14:41:14] ERROR |   Unhandled error for 'Aastha Medicare': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:41:14] INFO | Checkpoint saved -> Aastha Medicare
[2026-07-29 14:41:14] INFO | Phase 1 [127/2103]: Highland Care Multispeciality Hospital
[2026-07-29 14:41:14] INFO | Processing: Highland Care Multispeciality Hospital
[2026-07-29 14:41:14] INFO | Trying hexahealth.com for: Highland Care Multispeciality Hospital
[2026-07-29 14:41:14] INFO |   DDG: https://duckduckgo.com/?q=Highland+Care+Multispeciality+Hospital+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:41:18] INFO |   DDG result: https://www.hexahealth.com/delhi/hospital/highland-care-multispeciality-hospital
[2026-07-29 14:41:18] INFO |   Candidate URL: https://www.hexahealth.com/delhi/hospital/highland-care-multispeciality-hospital/reviews
[2026-07-29 14:41:20] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:41:20] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:41:22] INFO | Summary row: Highland Care Multispeciality Hospital → No Reviews (0 reviews)
[2026-07-29 14:41:23] ERROR |   Unhandled error for 'Highland Care Multispeciality Hospital': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:41:23] INFO | Checkpoint saved -> Highland Care Multispeciality Hospital
[2026-07-29 14:41:23] INFO | Phase 1 [128/2103]: Dr Shalini Jain Gynae Clinic
[2026-07-29 14:41:23] INFO | Processing: Dr Shalini Jain Gynae Clinic
[2026-07-29 14:41:23] INFO | Trying hexahealth.com for: Dr Shalini Jain Gynae Clinic
[2026-07-29 14:41:23] INFO |   DDG: https://duckduckgo.com/?q=Dr+Shalini+Jain+Gynae+Clinic+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:41:26] INFO |   DDG result: https://www.hexahealth.com/delhi/doctor/dr-shalini-singh-obstetrician-and-gynaecologist-2/reviews
[2026-07-29 14:41:26] INFO |   Candidate URL: https://www.hexahealth.com/delhi/doctor/dr-shalini-singh-obstetrician-and-gynaecologist-2/reviews
[2026-07-29 14:41:29] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:41:29] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:41:31] INFO | Summary row: Dr Shalini Jain Gynae Clinic → No Reviews (0 reviews)
[2026-07-29 14:41:32] ERROR |   Unhandled error for 'Dr Shalini Jain Gynae Clinic': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:41:32] INFO | Checkpoint saved -> Dr Shalini Jain Gynae Clinic
[2026-07-29 14:41:32] INFO | Phase 1 [129/2103]: Dispensary Chattarpur
[2026-07-29 14:41:32] INFO | Processing: Dispensary Chattarpur
[2026-07-29 14:41:32] INFO | Trying hexahealth.com for: Dispensary Chattarpur
[2026-07-29 14:41:32] INFO |   DDG: https://duckduckgo.com/?q=Dispensary+Chattarpur+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:41:35] INFO |   DDG result: https://www.hexahealth.com/reviews
[2026-07-29 14:41:35] INFO |   Candidate URL: https://www.hexahealth.com/reviews
[2026-07-29 14:41:40] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:41:40] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:41:43] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:44] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:45] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:47] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:48] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:49] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:50] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:52] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:53] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:54] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:55] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:57] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:58] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:41:59] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:42:00] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:42:02] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:42:03] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:42:05] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:42:06] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:42:07] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:42:08] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:42:09] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:42:11] INFO | Added review: Dispensary Chattarpur — Unknown
[2026-07-29 14:42:12] INFO | Summary row: Dispensary Chattarpur → Success (23 reviews)
[2026-07-29 14:42:13] ERROR |   Unhandled error for 'Dispensary Chattarpur': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:42:13] INFO | Checkpoint saved -> Dispensary Chattarpur
[2026-07-29 14:42:13] INFO | Phase 1 [130/2103]: Cronus Hospital
[2026-07-29 14:42:13] INFO | Processing: Cronus Hospital
[2026-07-29 14:42:13] INFO | Trying hexahealth.com for: Cronus Hospital
[2026-07-29 14:42:13] INFO |   DDG: https://duckduckgo.com/?q=Cronus+Hospital+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:42:16] INFO |   DDG result: https://www.hexahealth.com/delhi/hospital/cronus-multi-speciality-hospital
[2026-07-29 14:42:16] INFO |   Candidate URL: https://www.hexahealth.com/delhi/hospital/cronus-multi-speciality-hospital/reviews
[2026-07-29 14:42:18] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:42:18] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:42:21] INFO | Summary row: Cronus Hospital → No Reviews (0 reviews)
[2026-07-29 14:42:21] ERROR |   Unhandled error for 'Cronus Hospital': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:42:21] INFO | Checkpoint saved -> Cronus Hospital
[2026-07-29 14:42:21] INFO | Phase 1 [131/2103]: Ortho Care Hospital
[2026-07-29 14:42:21] INFO | Processing: Ortho Care Hospital
[2026-07-29 14:42:21] INFO | Trying hexahealth.com for: Ortho Care Hospital
[2026-07-29 14:42:21] INFO |   DDG: https://duckduckgo.com/?q=Ortho+Care+Hospital+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:42:24] INFO |   DDG result: https://www.hexahealth.com/bathinda/hospital/ortho-care-hospital-ganesh-nagar
[2026-07-29 14:42:24] INFO |   Candidate URL: https://www.hexahealth.com/bathinda/hospital/ortho-care-hospital-ganesh-nagar/reviews
[2026-07-29 14:42:28] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:42:28] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:42:30] INFO | Summary row: Ortho Care Hospital → No Reviews (0 reviews)
[2026-07-29 14:42:31] ERROR |   Unhandled error for 'Ortho Care Hospital': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:42:31] INFO | Checkpoint saved -> Ortho Care Hospital
[2026-07-29 14:42:31] INFO | Phase 1 [132/2103]: Dada Dev Hospital
[2026-07-29 14:42:31] INFO | Processing: Dada Dev Hospital
[2026-07-29 14:42:31] INFO | Trying hexahealth.com for: Dada Dev Hospital
[2026-07-29 14:42:31] INFO |   DDG: https://duckduckgo.com/?q=Dada+Dev+Hospital+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:42:34] INFO |   DDG result: https://www.hexahealth.com/pune/hospital/dr-dada-gujar-hospital-for-mother-and-child
[2026-07-29 14:42:34] INFO |   Candidate URL: https://www.hexahealth.com/pune/hospital/dr-dada-gujar-hospital-for-mother-and-child/reviews
[2026-07-29 14:42:36] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:42:36] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:42:39] INFO | Summary row: Dada Dev Hospital → No Reviews (0 reviews)
[2026-07-29 14:42:39] ERROR |   Unhandled error for 'Dada Dev Hospital': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:42:39] INFO | Checkpoint saved -> Dada Dev Hospital
[2026-07-29 14:42:39] INFO | Phase 1 [133/2103]: Janta Asptal
[2026-07-29 14:42:39] INFO | Processing: Janta Asptal
[2026-07-29 14:42:39] INFO | Trying hexahealth.com for: Janta Asptal
[2026-07-29 14:42:39] INFO |   DDG: https://duckduckgo.com/?q=Janta+Asptal+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:42:42] INFO |   DDG result: https://www.hexahealth.com/patan/hospital/janta-hospital-patan
[2026-07-29 14:42:42] INFO |   Candidate URL: https://www.hexahealth.com/patan/hospital/janta-hospital-patan/reviews
[2026-07-29 14:42:45] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:42:45] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:42:46] WARNING | Could not read existing reviews for Janta Asptal: 
[2026-07-29 14:42:46] ERROR |   Unhandled error for 'Janta Asptal': File is not a zip file
[2026-07-29 14:42:46] INFO | Checkpoint saved -> Janta Asptal
[2026-07-29 14:42:46] INFO | Phase 1 [134/2103]: Working
[2026-07-29 14:42:46] INFO | Processing: Working
[2026-07-29 14:42:46] INFO | Trying hexahealth.com for: Working
[2026-07-29 14:42:46] INFO |   DDG: https://duckduckgo.com/?q=Working+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:42:49] INFO |   DDG result: https://www.hexahealth.com/delhi/hospital/manipal-hospital-delhi/reviews
[2026-07-29 14:42:49] INFO |   Candidate URL: https://www.hexahealth.com/delhi/hospital/manipal-hospital-delhi/reviews
[2026-07-29 14:42:52] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:42:52] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:42:55] INFO | Added review: Working — Simran Kaur
[2026-07-29 14:42:57] INFO | Added review: Working — Sneha Rastogi
[2026-07-29 14:42:59] INFO | Added review: Working — Pooja Sharma
[2026-07-29 14:43:00] INFO | Added review: Working — Aisha Khan
[2026-07-29 14:43:03] INFO | Added review: Working — Vikas Soni
[2026-07-29 14:43:04] INFO | Added review: Working — Gaurav Kohli
[2026-07-29 14:43:06] INFO | Added review: Working — Manish Sharma
[2026-07-29 14:43:08] INFO | Added review: Working — Geeta Sharma
[2026-07-29 14:43:10] INFO | Added review: Working — Shilpa Rana
[2026-07-29 14:43:11] INFO | Added review: Working — Anonymous
[2026-07-29 14:43:13] INFO | Added review: Working — Arjun Singh
[2026-07-29 14:43:15] INFO | Added review: Working — Anonymous
[2026-07-29 14:43:17] INFO | Added review: Working — Anonymous
[2026-07-29 14:43:19] INFO | Added review: Working — jyoti
[2026-07-29 14:43:21] INFO | Added review: Working — Anonymous
[2026-07-29 14:43:23] INFO | Added review: Working — Anonymous
[2026-07-29 14:43:24] INFO | Added review: Working — Anonymous
[2026-07-29 14:43:27] INFO | Added review: Working — Anonymous
[2026-07-29 14:43:29] INFO | Added review: Working — Varsha
[2026-07-29 14:43:30] INFO | Summary row: Working → Success (19 reviews)
[2026-07-29 14:43:32] ERROR |   Unhandled error for 'Working': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:43:32] INFO | Checkpoint saved -> Working
[2026-07-29 14:43:32] INFO | Phase 1 [135/2103]: Vishal Health Care Center
[2026-07-29 14:43:32] INFO | Processing: Vishal Health Care Center
[2026-07-29 14:43:32] INFO | Trying hexahealth.com for: Vishal Health Care Center
[2026-07-29 14:43:32] INFO |   DDG: https://duckduckgo.com/?q=Vishal+Health+Care+Center+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:43:35] INFO |   DDG result: https://www.hexahealth.com/lucknow/hospital/vishal-superspeciality-hospital-jankipuram
[2026-07-29 14:43:35] INFO |   Candidate URL: https://www.hexahealth.com/lucknow/hospital/vishal-superspeciality-hospital-jankipuram/reviews
[2026-07-29 14:43:37] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:43:37] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:43:39] INFO | Summary row: Vishal Health Care Center → No Reviews (0 reviews)
[2026-07-29 14:43:40] ERROR |   Unhandled error for 'Vishal Health Care Center': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:43:40] INFO | Checkpoint saved -> Vishal Health Care Center
[2026-07-29 14:43:40] INFO | Phase 1 [136/2103]: Life Care Hospital
[2026-07-29 14:43:40] INFO | Processing: Life Care Hospital
[2026-07-29 14:43:40] INFO | Trying hexahealth.com for: Life Care Hospital
[2026-07-29 14:43:40] INFO |   DDG: https://duckduckgo.com/?q=Life+Care+Hospital+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:43:43] INFO |   DDG result: https://www.hexahealth.com/delhi/hospital/lifecare-cancer-and-surgical-clinic-bali-nagar
[2026-07-29 14:43:43] INFO |   Candidate URL: https://www.hexahealth.com/delhi/hospital/lifecare-cancer-and-surgical-clinic-bali-nagar/reviews
[2026-07-29 14:43:46] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:43:46] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:43:46] WARNING | Could not read existing reviews for Life Care Hospital: 
[2026-07-29 14:43:46] ERROR |   Unhandled error for 'Life Care Hospital': File is not a zip file
[2026-07-29 14:43:46] INFO | Checkpoint saved -> Life Care Hospital
[2026-07-29 14:43:46] INFO | Phase 1 [137/2103]: Medeor Hospital Dwarka
[2026-07-29 14:43:46] INFO | Processing: Medeor Hospital Dwarka
[2026-07-29 14:43:46] INFO | Trying hexahealth.com for: Medeor Hospital Dwarka
[2026-07-29 14:43:46] INFO |   DDG: https://duckduckgo.com/?q=Medeor+Hospital+Dwarka+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:43:49] INFO |   DDG result: https://www.hexahealth.com/delhi/hospital/medeor-hospital
[2026-07-29 14:43:49] INFO |   Candidate URL: https://www.hexahealth.com/delhi/hospital/medeor-hospital/reviews
[2026-07-29 14:43:51] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:43:51] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:43:53] INFO | Summary row: Medeor Hospital Dwarka → No Reviews (0 reviews)
[2026-07-29 14:43:54] ERROR |   Unhandled error for 'Medeor Hospital Dwarka': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:43:54] INFO | Checkpoint saved -> Medeor Hospital Dwarka
[2026-07-29 14:43:54] INFO | Phase 1 [138/2103]: Shokeen Hospital
[2026-07-29 14:43:54] INFO | Processing: Shokeen Hospital
[2026-07-29 14:43:54] INFO | Trying hexahealth.com for: Shokeen Hospital
[2026-07-29 14:43:54] INFO |   DDG: https://duckduckgo.com/?q=Shokeen+Hospital+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:43:58] INFO |   DDG result: https://www.hexahealth.com/delhi/doctor/dr-rishi-raj-shokeen-orthopedic-doctor
[2026-07-29 14:43:58] INFO |   Candidate URL: https://www.hexahealth.com/delhi/doctor/dr-rishi-raj-shokeen-orthopedic-doctor/reviews
[2026-07-29 14:44:00] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:44:00] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:44:01] INFO | Summary row: Shokeen Hospital → No Reviews (0 reviews)
[2026-07-29 14:44:02] ERROR |   Unhandled error for 'Shokeen Hospital': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:44:02] INFO | Checkpoint saved -> Shokeen Hospital
[2026-07-29 14:44:02] INFO | Phase 1 [139/2103]: Samar Hospital 50 Bedded Multispeciality Centre
[2026-07-29 14:44:02] INFO | Processing: Samar Hospital 50 Bedded Multispeciality Centre
[2026-07-29 14:44:02] INFO | Trying hexahealth.com for: Samar Hospital 50 Bedded Multispeciality Centre
[2026-07-29 14:44:02] INFO |   DDG: https://duckduckgo.com/?q=Samar+Hospital+50+Bedded+Multispeciality+Centre+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:44:05] INFO |   DDG result: https://www.hexahealth.com/udaipur/hospital/samar-hospital-and-research-centre-shakti-nagar
[2026-07-29 14:44:05] INFO |   Candidate URL: https://www.hexahealth.com/udaipur/hospital/samar-hospital-and-research-centre-shakti-nagar/reviews
[2026-07-29 14:44:08] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:44:08] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:44:08] WARNING | Could not read existing reviews for Samar Hospital 50 Bedded Multispeciality Centre: 
[2026-07-29 14:44:08] ERROR |   Unhandled error for 'Samar Hospital 50 Bedded Multispeciality Centre': File is not a zip file
[2026-07-29 14:44:08] INFO | Checkpoint saved -> Samar Hospital 50 Bedded Multispeciality Centre
[2026-07-29 14:44:08] INFO | Phase 1 [140/2103]: Rao Tularam Memorial Hospital
[2026-07-29 14:44:08] INFO | Processing: Rao Tularam Memorial Hospital
[2026-07-29 14:44:08] INFO | Trying hexahealth.com for: Rao Tularam Memorial Hospital
[2026-07-29 14:44:08] INFO |   DDG: https://duckduckgo.com/?q=Rao+Tularam+Memorial+Hospital+reviews+site%3Ahexahealth.com&ia=web
[2026-07-29 14:44:12] INFO |   DDG result: https://www.hexahealth.com/delhi/hospital/rao-tula-ram-memorial-hospital
[2026-07-29 14:44:12] INFO |   Candidate URL: https://www.hexahealth.com/delhi/hospital/rao-tula-ram-memorial-hospital/reviews
[2026-07-29 14:44:14] INFO |   Review keyword 'review' found on page.
[2026-07-29 14:44:14] INFO |   ✓ Reviews confirmed on hexahealth.com
[2026-07-29 14:44:16] INFO | Summary row: Rao Tularam Memorial Hospital → No Reviews (0 reviews)
[2026-07-29 14:44:16] ERROR |   Unhandled error for 'Rao Tularam Memorial Hospital': 'Worksheet Hospitals does not exist.'
[2026-07-29 14:44:16] INFO | Checkpoint saved -> Rao Tularam Memorial Hospital
[2026-07-29 14:44:16] INFO | Phase 1 [141/2103]: Rosewood Hospital
[2026-07-29 14:44:16] INFO | Processing: Rosewood Hospital
[2026-07-29 14:44:16] INFO | Trying hexahealth.com for: Rosewood Hospital
